Species_code,X,Y,Clusters_id,Land_use,Soil_type,UTM18N_Easting,UTM18N_Northing,Longitude,Latitude,Elevation(m),DBH
TILAME,8.006,69.663,3,Managed Forest,130E,721378.4236,4846098.112,-72.25103960041905,43.73486226984626,122.71,9.6
FRAAME,7.316,69.891,3,Managed Forest,130E,721378.572,4846098.842,-72.2510374592029,43.734868790834646,122.71,29.3
FRANIG,7.482,68.01,3,Managed Forest,130E,721376.7145,4846098.513,-72.25106063392715,43.73486638648066,122.55,9.1
CARCAR,6.404,67.811,3,Managed Forest,130E,721376.3925,4846099.608,-72.25106417698493,43.734876330543884,122.47,4
FRAAME,7.067,68.381,3,Managed Forest,130E,721377.0371,4846098.972,-72.25105644362031,43.73487041821353,122.67,10.9
FRAAME,7.758,65.047,3,Managed Forest,130E,721373.7902,4846097.98,-72.2510971245589,43.73486246590727,122.51,10.5
FRAAME,0.134,71.173,3,Managed Forest,130E,721379.0282,4846106.353,-72.25102870834324,43.73493620518877,122.74,30.7
FRAAME,4.194,78.181,2,Managed Forest,130E,721386.4846,4846102.755,-72.25093770514441,43.73490162037023,122.96,30.7
CARCAR,6.874,73.794,2,Managed Forest,130E,721382.4151,4846099.625,-72.25098946941122,43.734874685479106,122.71,7.1
ACESAC,5.161,73.167,3,Managed Forest,130E,721381.5933,4846101.338,-72.25099895721918,43.73489033676658,122.67,4.6
FRAAME,7.62,70.461,3,Managed Forest,130E,721379.1755,4846098.577,-72.25103008287213,43.73486622737897,122.69,12.5
ULMRUB,12.675,76.216,2,Managed Forest,130E,721385.4959,4846093.848,-72.25095363566965,43.73482181000584,122.12,10.9
TSUCAN,19.332,71.401,2,Managed Forest,130E,721381.455,4846086.583,-72.25100674759882,43.73475767824251,123.13,6
TSUCAN,16.377,70.29,2,Managed Forest,130E,721380.0081,4846089.535,-72.25102347860984,43.734784659149824,121.9,12.4
CARCAR,16.404,70.717,2,Managed Forest,130E,721380.4372,4846089.543,-72.25101815303535,43.7347846029969,121.9,14.5
FRAAME,16.156,71.344,2,Managed Forest,130E,721381.0343,4846089.852,-72.2510106197683,43.73478720374791,122.22,30.4
TSUCAN,14.774,72.056,2,Managed Forest,130E,721381.5863,4846091.336,-72.25100316211643,43.73480038538228,121.78,10.9
TSUCAN,19.692,62.398,1,Managed Forest,130E,721372.5147,4846085.457,-72.25111810087402,43.73475022045542,121.66,12.3
FRAAME,19.056,62.227,1,Managed Forest,130E,721372.2713,4846086.098,-72.25112085594638,43.73475605798155,121.64,24.9
TSUCAN,19.526,64.706,2,Managed Forest,130E,721374.7982,4846085.821,-72.2510896279589,43.7347528124241,121.88,9.2
FRANIG,2.687,84.556,3,Managed Forest,130E,721392.6717,4846104.843,-72.25086010446293,43.73491855174698,122.67,7.6
FRANIG,1.465,85.319,3,Managed Forest,130E,721393.2929,4846106.167,-72.2508518543262,43.7349302737424,122.75,17.4
FRAAME,1.869,85.917,3,Managed Forest,130E,721393.9358,4846105.8,-72.25084403130164,43.734926781169875,122.73,30.2
FRAAME,2.394,82.597,2,Managed Forest,130E,721390.6838,4846104.981,-72.25088470432877,43.73492038634748,122.71,26.5
CARCAR,1.303,81.882,2,Managed Forest,130E,721389.8456,4846106.046,-72.25089466234013,43.7349302147203,122.77,4.4
FRAAME,4.111,88.755,2,Managed Forest,130E,721397.0239,4846103.727,-72.25080658197777,43.734907215573166,122.69,26.3
FRANIG,4.596,89.16,2,Managed Forest,130E,721397.4835,4846103.261,-72.25080107326228,43.734902887362466,122.69,20
ACESAC,6.515,88.002,2,Managed Forest,130E,721396.5481,4846101.186,-72.25081352977293,43.73488450502385,122.46,9.7
CARCAR,3.667,81.535,2,Managed Forest,130E,721389.7702,4846103.58,-72.25089661291071,43.73490805914207,122.75,9.7
TSUCAN,6.152,97.732,2,Managed Forest,130E,721406.2133,4846102.376,-72.25069315866392,43.734892321659366,123.45,7.2
TSUCAN,5.848,99.778,3,Managed Forest,130E,721408.2196,4846102.861,-72.25066807405919,43.73489608450351,123.89,11.9
BETALL,8.576,93.736,2,Managed Forest,130E,721402.5045,4846099.542,-72.25074032724842,43.73486794127899,123.21,4.2
BETALL,6.939,94.373,2,Managed Forest,130E,721402.9525,4846101.283,-72.25073405365438,43.7348834652861,122.81,18.3
TSUCAN,5.99,94.662,2,Managed Forest,130E,721403.132,4846102.286,-72.25073141424733,43.73489243222062,122.63,11.3
TSUCAN,11.909,97.403,2,Managed Forest,130E,721406.5446,4846096.414,-72.25069150440893,43.73483860321955,125.19,37.7
TSUCAN,11.97,98.639,2,Managed Forest,130E,721407.7846,4846096.455,-72.25067610735346,43.73483860172602,125.45,25.2
TSUCAN,14.495,98.62,2,Managed Forest,130E,721408.055,4846093.85,-72.25067382615431,43.73481509280395,126.41,9.4
TSUCAN,15.99,99.16,2,Managed Forest,130E,721408.765,4846092.355,-72.25066563537185,43.73480143546541,126.55,9.4
PINSTR,16.293,97.442,2,Managed Forest,130E,721407.0858,4846091.898,-72.25068665126925,43.73479782677742,126.53,23.7
TSUCAN,16.293,94.817,2,Managed Forest,130E,721404.467,4846091.678,-72.25071922376927,43.73479663009082,125.93,12.8
