OID_,Quadrat,Tag,Species,DBH,local_x,local_y,Code,ScientificName,CommonName,Family,Type,ln,wd,stake_x,stake_y,global_x,global_y,global_y_neg,global_x_neg,N18UTMFrom0313E,N18UTMFrom0313N,Land_use
113,2,120,TSUCAN,25,10.533,10.813,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,10.533,50.813,-50.813,-10.533,721359.9081,4846093.927,Managed Forest
114,2,121,TILAME,15,14.488,15.506,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,40,14.488,55.506,-55.506,-14.488,721365.043,4846090.243,Managed Forest
115,2,122,TSUCAN,9.5,16.062,13.88,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,16.062,53.88,-53.88,-16.062,721363.6012,4846088.485,Managed Forest
116,2,123,TSUCAN,34.3,15.859,12.687,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,15.859,52.687,-52.687,-15.859,721362.3878,4846088.594,Managed Forest
117,2,124,TSUCAN,20.8,12.28,8.893,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,12.28,48.893,-48.893,-12.28,721358.1928,4846091.965,Managed Forest
118,2,125,TSUCAN,13.1,12.991,6.861,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,12.991,46.861,-46.861,-12.991,721356.2471,4846091.062,Managed Forest
119,2,126,TSUCAN,47.7,14.133,6.102,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,14.133,46.102,-46.102,-14.133,721355.6207,4846089.821,Managed Forest
120,2,127,TSUCAN,12.5,14.437,2.118,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,14.437,42.118,-42.118,-14.437,721351.681,4846089.174,Managed Forest
121,2,128,TSUCAN,10.3,13.245,1.847,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,13.245,41.847,-41.847,-13.245,721351.2741,4846090.38,Managed Forest
122,2,129,CARCAR,3.6,10.884,0.845,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,40,10.884,40.845,-40.845,-10.884,721350.004,4846092.729,Managed Forest
123,2,130,CARCOR,136.2,12.052,3.257,,Carya cordiformis,Bitternut Hickory,Juglandaceae,DECIDUOUS,20,20,0,40,12.052,43.257,-43.257,-12.052,721352.5441,4846091.728,Managed Forest
124,2,131,TSUCAN,8.8,11.849,2.633,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,11.849,42.633,-42.633,-11.849,721351.8983,4846091.885,Managed Forest
125,2,132,TILAME,24.2,12.305,6.617,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,40,12.305,46.617,-46.617,-12.305,721355.9251,4846091.748,Managed Forest
126,2,133,TSUCAN,22.1,13.803,5.37,,Tsuga candanensis,Eastern hemlock,Pinaceae,CONIFER,20,20,0,40,13.803,45.37,-45.37,-13.803,721354.8527,4846090.1,Managed Forest
127,3,39,CARCAR,4.9,3.757,3.219,,Carpinus caroliniana,Musclewood,Betulaceae,DECIDUOUS,20,20,0,60,3.757,63.219,-63.219,-3.757,721371.5082,4846101.952,Managed Forest
128,3,40,FRAAME,17.1,2.924,5.161,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,0,60,2.924,65.161,-65.161,-2.924,721373.3501,4846102.973,Managed Forest
129,3,41,TILAME,15,8.2,10.033,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,60,8.2,70.033,-70.033,-8.2,721378.815,4846097.943,Managed Forest
130,3,42,TILAME,9.6,8.006,9.663,,Tilia americana,Basswood,Malvaceae,DECIDUOUS,20,20,0,60,8.006,69.663,-69.663,-8.006,721378.4236,4846098.112,Managed Forest
131,3,43,FRAAME,29.3,7.316,9.891,,Fraxinus americana,White Ash,Oleaceae,DECIDUOUS,20,20,0,60,7.316,69.891,-69.891,-7.316,721378.572,4846098.842,Managed Forest
